Toolbox Path,Type,System,Grade,Standard
DIN/Bolts and Screws/Hex Bolt and Screws/**Hex Screw Grade B - DIN EN 24015**,Hex Cap Screw,Metric,Class 8.8,DIN 933
DIN/Bolts and Screws/Hex Bolt and Screws/**Hex Screw Grade B - DIN 931-2**,Hex Cap Screw,Metric,Class 8.8,DIN 931
